loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.087402,0.087402,1
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108627,0.196029,2
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.090168,0.286197,3
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.109208,0.395405,4
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089681,0.485086,5
-770.002563,700.0,278.218994,0.0,0.0,512.238525,0.0,0.0,4800.899414,0.106696,0.591782,6
-770.002563,700.0,327.915924,0.0,0.0,406.180176,0.0,0.0,-980.00293,0.108222,0.700005,7
-770.002563,700.0,359.933533,0.0,0.0,319.730896,0.0,0.0,-980.00116,0.088213,0.788218,8
-770.002563,700.0,388.733765,0.0,0.0,213.961243,0.0,0.0,-979.999451,0.107928,0.896147,9
-770.002563,700.0,404.035065,0.0,0.0,125.653786,0.0,0.0,-980.003296,0.090109,0.986256,10
-770.002563,700.0,411.855865,0.0,0.0,21.450209,0.0,0.0,-979.997986,0.10633,1.092586,11
-770.002563,700.0,409.794434,0.0,0.0,-67.085892,0.0,0.0,-979.999573,0.090343,1.182929,12
-770.002563,700.0,397.129852,0.0,0.0,-171.24028,0.0,0.0,-980.001282,0.10628,1.289209,13
-770.002563,700.0,372.897888,0.0,0.0,-277.160492,0.0,0.0,-980.000305,0.108082,1.397291,14
-770.002563,700.0,343.932068,0.0,0.0,-365.500946,0.0,0.0,-980.001282,0.090143,1.487434,15
-770.002563,700.0,299.527802,0.0,0.0,-469.705627,0.0,0.0,-979.995239,0.106332,1.593766,16
-770.002563,700.0,253.12146,0.0,0.0,-558.193298,0.0,0.0,-980.001465,0.090293,1.684059,17
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,5150.90918,0.108368,1.792427,18
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.090275,1.882703,19
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108339,1.991042,20
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108321,2.099363,21
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.088779,2.188142,22
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107841,2.295983,23
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107737,0.107737,1
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.090082,0.197819,2
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108041,0.30586,3
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107707,0.413566,4
-770.002563,700.0,239.254959,0.0,0.0,582.029053,0.0,0.0,6452.381348,0.090204,0.50377,5
-770.002563,700.0,296.442291,0.0,0.0,476.099487,0.0,0.0,-979.996033,0.108092,0.611862,6
-770.002563,700.0,335.983093,0.0,0.0,386.226379,0.0,0.0,-980.000244,0.091707,0.703569,7
-770.002563,700.0,371.269745,0.0,0.0,282.858582,0.0,0.0,-980.008972,0.105476,0.809045,8
-770.002563,700.0,392.740387,0.0,0.0,194.747513,0.0,0.0,-979.996704,0.08991,0.898955,9
-770.002563,700.0,408.043365,0.0,0.0,89.066475,0.0,0.0,-980.001038,0.107838,1.006793,10
-770.002563,700.0,412.090515,0.0,0.0,0.634373,0.0,0.0,-979.991516,0.090238,1.09703,11
-770.002563,700.0,406.420441,0.0,0.0,-105.421753,0.0,0.0,-980.003906,0.10822,1.20525,12
-770.002563,700.0,389.545227,0.0,0.0,-210.212173,0.0,0.0,-980.001587,0.106929,1.312179,13
-770.002563,700.0,366.398773,0.0,0.0,-299.259277,0.0,0.0,-979.992004,0.090865,1.403044,14
-770.002563,700.0,328.108429,0.0,0.0,-405.715698,0.0,0.0,-979.997986,0.108629,1.511673,15
-770.002563,700.0,287.703125,0.0,0.0,-493.760712,0.0,0.0,-980.000061,0.089842,1.601515,16
-770.002563,700.0,228.422501,0.0,0.0,-599.991333,0.0,0.0,-980.001404,0.108398,1.709914,17
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,6694.864746,0.08962,1.799533,18
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108171,1.907704,19
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089712,1.997416,20
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108521,2.105937,21
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.105916,2.211853,22
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089921,2.301774,23
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.106045,0.106045,1
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089548,0.195593,2
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107702,0.303295,3
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089958,0.393253,4
-770.002563,700.0,259.21579,0.0,0.0,547.388916,0.0,0.0,5080.718262,0.107738,0.500992,5
-770.002563,700.0,304.662201,0.0,0.0,458.867859,0.0,0.0,-980.003784,0.090327,0.591319,6
-770.002563,700.0,348.337219,0.0,0.0,353.492065,0.0,0.0,-980.004517,0.107526,0.698845,7
-770.002563,700.0,380.832947,0.0,0.0,247.517822,0.0,0.0,-979.998657,0.108137,0.806982,8
-770.002563,700.0,399.050079,0.0,0.0,159.873444,0.0,0.0,-979.993103,0.089434,0.896416,9
-770.002563,700.0,410.604523,0.0,0.0,53.970142,0.0,0.0,-979.999512,0.108065,1.00448,10
-770.002563,700.0,411.561371,0.0,0.0,-32.208038,0.0,0.0,-980.005737,0.087936,1.092417,11
-770.002563,700.0,402.3414,0.0,0.0,-138.233368,0.0,0.0,-980.004395,0.108189,1.200605,12
-770.002563,700.0,381.703979,0.0,0.0,-244.044678,0.0,0.0,-979.987122,0.107972,1.308578,13
-770.002563,700.0,356.428375,0.0,0.0,-330.299835,0.0,0.0,-979.999023,0.088016,1.396593,14
-770.002563,700.0,315.089813,0.0,0.0,-436.029327,0.0,0.0,-979.999695,0.107887,1.50448,15
-770.002563,700.0,272.143951,0.0,0.0,-523.732239,0.0,0.0,-979.999634,0.089493,1.593973,16
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,4833.418945,0.108356,1.70233,17
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089918,1.792248,18
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107901,1.900148,19
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108888,2.009036,20
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089012,2.098048,21
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107641,2.205689,22
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089806,2.295495,23
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.09042,0.09042,1
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.104054,0.194474,2
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107962,0.302436,3
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.091291,0.393727,4
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.106004,0.499731,5
-770.002563,700.0,259.133362,0.0,0.0,547.536438,0.0,0.0,6137.184082,0.089216,0.588947,6
-770.002563,700.0,311.580505,0.0,0.0,443.846527,0.0,0.0,-980.005859,0.105805,0.694753,7
-770.002563,700.0,353.689484,0.0,0.0,338.32843,0.0,0.0,-980.006775,0.107671,0.802423,8
-770.002563,700.0,380.109741,0.0,0.0,250.364563,0.0,0.0,-980.012329,0.089758,0.892181,9
-770.002563,700.0,401.046265,0.0,0.0,147.128571,0.0,0.0,-979.990967,0.105344,0.997525,10
-770.002563,700.0,410.284332,0.0,0.0,59.49958,0.0,0.0,-980.009155,0.089417,1.086942,11
-770.002563,700.0,410.986694,0.0,0.0,-46.513741,0.0,0.0,-979.988403,0.108178,1.19512,12
-770.002563,700.0,400.28653,0.0,0.0,-152.10466,0.0,0.0,-979.988708,0.107747,1.302867,13
-770.002563,700.0,382.653564,0.0,0.0,-240.200729,0.0,0.0,-979.996216,0.089894,1.392761,14
-770.002563,700.0,351.216858,0.0,0.0,-345.416199,0.0,0.0,-979.991089,0.107364,1.500125,15
-770.002563,700.0,316.333405,0.0,0.0,-433.225037,0.0,0.0,-980.003174,0.089601,1.589725,16
-770.002563,700.0,264.247559,0.0,0.0,-538.304932,0.0,0.0,-980.007996,0.107224,1.696949,17
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,5997.616211,0.089753,1.786702,18
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108232,1.894934,19
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.105288,2.000221,20
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089934,2.090156,21
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.105946,2.196101,22
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107366,2.303467,23
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089369,2.392836,24
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.105588,2.498424,25
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089604,2.588028,26
