loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-1385.401367,804.31366,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108732,0.108732,1
-1385.401367,804.31366,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.090569,0.199301,2
-1385.401367,804.31366,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108447,0.307748,3
-1385.401367,804.31366,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.09068,0.398427,4
-1385.401367,804.31366,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.108808,0.507236,5
-1385.401367,804.31366,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.090582,0.597818,6
-1375.529297,794.253662,228.417114,155.80722,-158.770432,0.0,1434.479248,-1461.760864,0.0,0.108616,0.706434,7
-1354.80542,773.135498,228.417114,283.64267,-289.043762,0.0,1434.413086,-1461.767944,0.0,0.08912,0.795554,8
-1314.380615,731.941528,228.417114,420.245911,-428.242493,0.0,1255.072144,-1278.918823,0.0,0.108841,0.904395,9
-1276.284668,693.120605,228.417114,420.248932,-428.243622,0.0,0.033328,-0.012456,0.0,0.090652,0.995047,10
-1230.552002,646.517761,228.417114,420.248474,-428.242126,0.0,-0.004206,0.013741,0.0,0.108823,1.10387,11
-1192.410156,607.650269,228.417114,420.247406,-428.243042,0.0,-0.011768,-0.010087,0.0,0.090761,1.194631,12
-1146.706543,561.076904,228.417114,420.245483,-428.242249,0.0,-0.017678,0.007296,0.0,0.108755,1.303386,13
-1109.393799,523.054016,228.417114,420.242889,-428.244202,0.0,-0.029215,-0.021997,0.0,0.088789,1.392174,14
-1063.741455,476.532745,228.417114,420.250763,-428.243256,0.0,0.072479,0.008709,0.0,0.108632,1.500806,15
-1025.411499,437.473755,228.417114,420.249451,-428.241364,0.0,-0.014388,0.020745,0.0,0.091208,1.592013,16
-979.427307,390.61499,228.417114,420.249664,-428.242371,0.0,0.001952,-0.009204,0.0,0.109421,1.701434,17
-939.513367,349.94165,228.417114,420.245453,-428.243835,0.0,-0.044342,-0.015423,0.0,0.094977,1.796411,18
-894.617737,304.191528,228.417114,420.24707,-428.244232,0.0,0.01514,-0.003714,0.0,0.106832,1.903243,19
-856.51355,265.362305,228.417114,420.246979,-428.242615,0.0,-0.00101,0.017838,0.0,0.090671,1.993914,20
-810.773376,218.751785,228.417114,420.246735,-428.243896,0.0,-0.002243,-0.011776,0.0,0.108841,2.102755,21
-775.459473,182.765717,228.417114,272.467712,-277.654358,0.0,-1634.71106,1665.800659,0.0,0.090401,2.193156,22
