loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.092473,0.092473,1
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.110864,0.203336,2
-770.002563,700.0,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.092309,0.295645,3
-755.194702,700.525269,228.417114,227.935654,8.082967,0.0,2046.718506,72.579948,0.0,0.111366,0.407012,4
-723.578186,701.646545,228.417114,417.368286,14.802115,0.0,2046.715576,72.59671,0.0,0.092554,0.499566,5
-674.668823,703.380981,228.417114,599.624268,21.263748,0.0,1973.013062,69.950439,0.0,0.092374,0.591941,6
-607.849243,705.750854,228.417114,599.621704,21.267361,0.0,-0.023004,0.032418,0.0,0.111436,0.703377,7
-553.82666,707.666931,228.417114,599.622559,21.26659,0.0,0.009484,-0.008553,0.0,0.090094,0.793471,8
-488.442139,709.985962,228.417114,599.623535,21.268955,0.0,0.008956,0.02169,0.0,0.109043,0.902514,9
-434.323029,711.905396,228.417114,599.622925,21.267195,0.0,-0.006763,-0.019506,0.0,0.090255,0.992769,10
-359.140594,714.571838,228.417114,599.623352,21.265793,0.0,0.003408,-0.011181,0.0,0.125383,1.118152,11
-314.574463,716.152527,228.417114,599.623596,21.266418,0.0,0.003285,0.008417,0.0,0.074324,1.192475,12
-250.192505,718.435974,228.417114,599.622681,21.267141,0.0,-0.008527,0.006733,0.0,0.107371,1.299846,13
-185.269989,720.738525,228.417114,599.622681,21.266296,0.0,0.0,-0.007804,0.0,0.108272,1.408118,14
-131.168335,722.657166,228.417114,599.622742,21.264374,0.0,0.000676,-0.021309,0.0,0.090226,1.498344,15
-66.660469,724.944885,228.417114,599.622864,21.267115,0.0,0.001135,0.025477,0.0,0.107581,1.605925,16
-12.698273,726.858765,228.417114,599.622986,21.266712,0.0,0.001356,-0.004472,0.0,0.089994,1.695919,17
51.638435,729.140625,228.417114,599.623108,21.266785,0.0,0.001138,0.000676,0.0,0.107295,1.803214,18
105.383301,731.046875,228.417114,599.622986,21.26845,0.0,-0.001362,0.018577,0.0,0.089631,1.892845,19
170.883362,733.369934,228.417114,599.622559,21.266621,0.0,-0.003911,-0.016745,0.0,0.109235,2.00208,20
224.36174,735.266724,228.417114,599.62323,21.266563,0.0,0.007528,-0.000642,0.0,0.089187,2.091267,21
287.659821,737.511719,228.417114,599.622131,21.268372,0.0,-0.010407,0.017129,0.0,0.105563,2.19683,22
351.914948,739.790649,228.417114,599.622681,21.264894,0.0,0.005126,-0.032448,0.0,0.107159,2.303989,23
405.669678,741.697083,228.417114,599.62207,21.264368,0.0,-0.006808,-0.005872,0.0,0.089648,2.393637,24
470.035828,743.979797,228.417114,599.623657,21.266794,0.0,0.014783,0.022602,0.0,0.107344,2.500981,25
523.82251,745.887634,228.417114,599.62262,21.268488,0.0,-0.011567,0.018882,0.0,0.089701,2.590682,26
569.957764,747.524048,228.417114,151.539459,5.374132,0.0,-4263.595215,-151.237762,0.0,0.105095,2.695777,27
571.496704,747.578613,228.417114,0.0,0.0,0.0,-1399.30603,-49.624401,0.0,0.108296,2.804073,28
571.496704,747.578613,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.089165,2.893238,29
571.496704,747.578613,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.106052,2.99929,30
504.411438,821.224548,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.091564,0.091564,1
504.411438,821.224548,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107586,0.19915,2
490.6138,822.4151,228.417114,-219.683014,18.95594,0.0,-2040.411865,176.062424,0.0,0.107666,0.306816,3
460.996399,824.970886,228.417114,-402.992462,34.775265,0.0,-2040.400513,176.083435,0.0,0.08984,0.396656,4
405.617188,829.749878,228.417114,-597.779053,51.587547,0.0,-1846.92395,159.410385,0.0,0.105465,0.502121,5
351.993011,834.377441,228.417114,-597.777893,51.584595,0.0,0.012927,-0.032914,0.0,0.089706,0.591827,6
287.782806,839.918701,228.417114,-597.777344,51.587578,0.0,0.005114,0.027772,0.0,0.107415,0.699242,7
223.448029,845.457947,228.417114,-597.839111,50.878841,0.0,-0.573933,-6.585443,0.0,0.107622,0.806864,8
169.534286,849.138916,228.417114,-599.24823,30.030025,0.0,-15.644497,-231.470383,0.0,0.090071,0.896935,9
105.387512,850.521118,228.417114,-599.982483,4.58567,0.0,-6.865857,-237.925232,0.0,0.106943,1.003878,10
51.810432,850.511292,228.417114,-599.995728,-2.281832,0.0,-0.148325,-76.908104,0.0,0.089295,1.093173,11
-12.895768,850.072632,228.417114,-599.980164,-4.890059,0.0,0.144316,-24.184675,0.0,0.107846,1.201019,12
-75.059479,849.516357,228.417114,-599.973816,-5.593949,0.0,0.061265,-6.793623,0.0,0.103611,1.304629,13
-128.526337,849.037537,228.417114,-599.98407,-4.382792,0.0,-0.115064,13.590994,0.0,0.089115,1.393744,14
-193.196335,848.969604,228.417114,-599.998901,1.30037,0.0,-0.137604,52.727188,0.0,0.107784,1.501528,15
-255.245682,849.220337,228.417114,-599.992371,2.951756,0.0,0.06315,15.968312,0.0,0.103416,1.604945,16
-308.634644,849.510193,228.417114,-599.990906,3.399136,0.0,0.016462,5.027699,0.0,0.088983,1.693928,17
-373.720093,849.891602,228.417114,-599.98877,3.570826,0.0,0.019693,1.58273,0.0,0.108477,1.802405,18
-426.502899,850.208252,228.417114,-599.988892,3.613693,0.0,-0.001388,0.487276,0.0,0.087973,1.890378,19
-490.751526,850.59613,228.417114,-599.989624,3.627685,0.0,-0.00684,0.130669,0.0,0.107082,1.99746,20
-553.84668,850.978027,228.417114,-599.988892,3.632116,0.0,0.006965,0.04214,0.0,0.10516,2.10262,21
-616.916443,851.359863,228.417114,-599.987915,3.633214,0.0,0.00929,0.010445,0.0,0.105118,2.207738,22
-670.433167,851.68396,228.417114,-599.987549,3.634861,0.0,0.004106,0.018462,0.0,0.089196,2.296934,23
-734.328308,852.071106,228.417114,-599.989136,3.634408,0.0,-0.014901,-0.004258,0.0,0.106494,2.403428,24
-788.078857,852.396606,228.417114,-599.988281,3.632926,0.0,0.009538,-0.016535,0.0,0.089585,2.493013,25
-841.812805,852.721924,228.417114,-244.278061,1.48,0.0,3347.776611,-20.262327,0.0,0.106253,2.599266,26
-845.37738,852.74353,228.417114,0.0,0.0,0.0,2312.10376,-14.008272,0.0,0.105652,2.704918,27
-845.37738,852.74353,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.088595,2.793513,28
