loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-2.924412,387.5047,423.150024,0.0,0.0,0.0,0.0,0.0,0.0,0.10451,0.10451,1
-2.924412,387.5047,423.150024,0.0,0.0,0.0,0.0,0.0,0.0,0.10976,0.214271,2
-2.924412,387.5047,423.150024,0.0,0.0,0.0,0.0,0.0,0.0,0.090309,0.30458,3
-6.94571,387.592987,423.150024,-111.131241,2.439757,0.0,-1027.932861,22.567066,0.0,0.108111,0.412691,4
-27.480373,388.04361,423.150024,-298.965332,6.56008,0.0,-2047.511475,44.914154,0.0,0.091738,0.504429,5
-71.19986,389.002777,423.150024,-510.802094,11.206414,0.0,-2047.51709,44.909344,0.0,0.10346,0.607889,6
-134.65004,390.394623,420.512115,-599.855347,13.157783,0.0,-826.07135,18.101185,0.0,0.107803,0.715693,7
-200.144531,391.831268,378.003754,-599.855774,13.158248,0.0,-0.003913,0.004263,0.0,0.109182,0.824875,8
-254.05481,393.013855,340.728546,-599.855469,13.158774,0.0,0.003396,0.005858,0.0,0.089871,0.914746,9
-308.257446,394.20285,302.330261,-599.85614,13.158226,0.0,-0.00743,-0.006069,0.0,0.090359,1.005105,10
-372.060242,395.602417,261.381195,-599.856506,13.15836,0.0,-0.003443,0.001255,0.0,0.106362,1.111467,11
-426.172333,396.789429,228.426376,-599.855774,13.159204,0.0,0.008119,0.009367,0.0,0.09021,1.201677,12
-491.13385,398.214539,228.426376,-599.856201,13.159172,0.0,-0.003945,-0.000299,0.0,0.108295,1.309973,13
-545.124084,399.398895,228.426376,-599.856323,13.158611,0.0,-0.001356,-0.00623,0.0,0.090005,1.399978,14
-559.923462,399.723541,228.426376,0.0,0.0,0.0,5545.616699,-121.650154,0.0,0.108168,1.508145,15
-559.923462,399.723541,228.426376,0.0,0.0,0.0,0.0,0.0,0.0,0.107698,1.615844,16
-559.923462,399.723541,228.426376,0.0,0.0,0.0,0.0,0.0,0.0,0.090193,1.706037,17
17.012569,387.067383,423.150024,0.0,0.0,0.0,0.0,0.0,0.0,0.089972,0.089972,1
17.012569,387.067383,423.150024,0.0,0.0,0.0,0.0,0.0,0.0,0.108304,0.198277,2
17.012569,387.067383,423.150024,0.0,0.0,0.0,0.0,0.0,0.0,0.087819,0.286096,3
15.022175,387.111084,423.150024,-73.71254,1.6183,0.0,-681.838379,14.969217,0.0,0.108109,0.394204,4
-6.281687,387.578583,423.150024,-291.172577,6.388611,0.0,-2047.513428,44.915264,0.0,0.106207,0.500411,5
-42.616829,388.375763,423.150024,-476.159821,10.445704,0.0,-2047.491333,44.905064,0.0,0.090348,0.590759,6
-104.661415,389.736847,423.150024,-599.855713,13.158998,0.0,-1145.901123,25.135569,0.0,0.107946,0.698706,7
-158.589401,390.919769,402.262299,-599.855652,13.15744,0.0,0.000679,-0.017334,0.0,0.089901,0.788607,8
-223.415802,392.341797,360.949707,-599.856079,13.158577,0.0,-0.003953,0.010519,0.0,0.10807,0.896677,9
-277.349792,393.524933,322.501892,-599.856201,13.15894,0.0,-0.001358,0.004041,0.0,0.089911,0.986588,10
-342.42276,394.952454,281.270752,-599.855347,13.159612,0.0,0.007877,0.006189,0.0,0.108481,1.09507,11
-407.216492,396.373962,239.459137,-599.855042,13.160202,0.0,0.002825,0.005465,0.0,0.108016,1.203086,12
-461.273865,397.559875,228.4263,-599.856262,13.159846,0.0,-0.013546,-0.003947,0.0,0.090118,1.293204,13
-526.021606,398.980347,228.4263,-599.854675,13.160599,0.0,0.014702,0.006971,0.0,0.10794,1.401144,14
-540.904968,399.306885,228.4263,0.0,0.0,0.0,6661.440918,-146.149643,0.0,0.090049,1.491193,15
-540.904968,399.306885,228.4263,0.0,0.0,0.0,0.0,0.0,0.0,0.107941,1.599133,16
