loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-542.533997,351.882233,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.091581,0.091581,1
-540.455811,351.967163,228.417114,75.297142,3.076921,0.0,680.687134,27.815405,0.0,0.110619,0.2022,2
-523.186401,352.672974,228.417114,263.215607,10.758725,0.0,2046.298584,83.649399,0.0,0.091833,0.294033,3
-488.02594,354.110046,228.417114,453.773712,18.545538,0.0,2046.280151,83.617546,0.0,0.093124,0.387157,4
-425.195526,356.677948,228.417114,599.499451,24.501326,0.0,1309.45459,53.5172,0.0,0.111287,0.498445,5
-370.20166,358.925629,261.892181,599.499023,24.502399,0.0,-0.004658,0.011706,0.0,0.091733,0.590178,6
-303.912109,361.634827,305.928375,599.499512,24.499546,0.0,0.004416,-0.025805,0.0,0.110575,0.700752,7
-248.936661,363.881561,342.188202,599.499512,24.501524,0.0,0.0,0.021569,0.0,0.091702,0.792455,8
-183.35704,366.561707,386.670746,599.499512,24.501396,0.0,0.0,-0.001168,0.0,0.10939,0.901845,9
-128.314255,368.811249,422.318817,599.5,24.500788,0.0,0.005318,-0.006627,0.0,0.091815,0.99366,10
-62.857975,371.486328,423.149994,599.499512,24.50005,0.0,-0.004472,-0.006761,0.0,0.109185,1.102844,11
-11.711829,373.57663,423.149994,388.929382,15.895621,0.0,-2297.050293,-93.863281,0.0,0.09167,1.194514,12
-3.954531,373.893707,423.149994,0.0,0.0,0.0,-4246.697266,-173.56337,0.0,0.091584,1.286098,13
-3.954531,373.893707,423.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.111188,1.397286,14
-600.331299,349.519165,228.426346,0.0,0.0,0.0,0.0,0.0,0.0,0.090123,0.090123,1
-600.331299,349.519165,228.426346,0.0,0.0,0.0,0.0,0.0,0.0,0.109704,0.199827,2
-600.331299,349.519165,228.426346,0.0,0.0,0.0,0.0,0.0,0.0,0.092243,0.29207,3
-596.197388,349.68811,228.426346,112.642616,4.603358,0.0,1227.633911,50.169628,0.0,0.091756,0.383826,4
-569.377563,350.784271,228.426346,337.655212,13.800134,0.0,2046.276245,83.635956,0.0,0.109962,0.493788,5
-527.832764,352.482361,228.426346,526.237,21.509546,0.0,2046.322998,83.655739,0.0,0.092156,0.585944,6
-462.652039,355.146332,228.426346,599.499634,24.501154,0.0,667.130737,27.241629,0.0,0.109818,0.695762,7
-407.653839,357.394135,239.259583,599.500183,24.502069,0.0,0.005988,0.00998,0.0,0.091741,0.787502,8
-341.359924,360.103668,281.584534,599.499695,24.502676,0.0,-0.004416,0.005485,0.0,0.110582,0.898084,9
-286.555298,362.343628,319.749481,599.5,24.502041,0.0,0.003338,-0.006948,0.0,0.091417,0.989501,10
-220.660782,365.036682,361.774475,599.49939,24.501017,0.0,-0.005553,-0.009318,0.0,0.109916,1.099418,11
-166.241119,367.260803,399.882751,599.499329,24.501335,0.0,-0.000672,0.003509,0.0,0.090775,1.190193,12
-101.888474,369.891052,422.989716,599.499451,24.502682,0.0,0.001137,0.012545,0.0,0.107344,1.297536,13
-46.957088,372.1362,422.989716,599.499512,24.501884,0.0,0.000666,-0.008701,0.0,0.091629,1.389165,14
-0.118151,374.050568,422.989716,131.507492,5.375249,0.0,-4267.342285,-174.404495,0.0,0.109668,1.498834,15
