loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-759.868225,700.061768,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.093185,0.093185,1
-759.868225,700.061768,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.098701,0.191885,2
-744.478455,700.398621,228.417114,232.382263,5.867548,0.0,2047.345581,51.694557,0.0,0.113504,0.305389,3
-708.739319,701.435974,228.417114,437.983704,13.196449,0.0,2046.72522,72.957893,0.0,0.100454,0.405843,4
-658.404846,702.986816,228.417114,599.710144,18.636389,0.0,1753.782837,58.991421,0.0,0.092216,0.498059,5
-599.244385,704.837463,228.417114,599.705261,18.81686,0.0,-0.049497,1.829429,0.0,0.098649,0.596708,6
-542.880249,706.609619,228.417114,599.701965,18.872042,0.0,-0.035068,0.587122,0.0,0.093987,0.690695,7
-474.067627,708.77655,228.417114,599.702576,18.891268,0.0,0.005319,0.167555,0.0,0.114745,0.805439,8
-416.152466,710.60144,228.417114,599.702454,18.898129,0.0,-0.001264,0.071042,0.0,0.096573,0.902013,9
-356.498474,712.48114,228.417114,599.703003,18.894903,0.0,0.005522,-0.032424,0.0,0.099473,1.001485,10
-298.465698,714.30957,228.417114,599.702271,18.894464,0.0,-0.007569,-0.004533,0.0,0.096769,1.098255,11
-240.630997,715.914429,228.417114,599.842651,13.738173,0.0,1.455801,-53.472622,0.0,0.096429,1.194683,12
-183.212173,716.865051,228.417114,599.946533,8.01952,0.0,1.085362,-59.748726,0.0,0.095712,1.290395,13
-114.580879,717.524048,228.417114,599.984863,4.258268,0.0,0.335079,-32.880638,0.0,0.114391,1.404786,14
-57.268257,717.805847,228.417114,599.995361,2.368731,0.0,0.109902,-19.781187,0.0,0.095522,1.500308,15
-1.554942,717.987976,228.417114,599.997437,1.775098,0.0,0.022348,-6.393032,0.0,0.092856,1.593164,16
57.832809,718.149841,228.417114,599.997925,1.57389,0.0,0.004933,-2.032821,0.0,0.09898,1.692144,17
121.837669,718.312927,228.417114,599.998169,1.506808,0.0,0.002289,-0.62885,0.0,0.106675,1.798819,18
181.669815,718.46228,228.417114,599.998535,1.494015,0.0,0.003672,-0.128287,0.0,0.09972,1.89854,19
237.393097,718.71167,228.417114,599.980957,4.827975,0.0,-0.18927,35.898018,0.0,0.092873,1.991413,20
296.342926,719.460938,228.417114,599.935181,8.858319,0.0,-0.465879,41.017971,0.0,0.098258,2.089671,21
363.242706,720.549988,228.417114,599.913391,10.177612,0.0,-0.195396,11.830679,0.0,0.111515,2.201185,22
422.379425,721.786316,228.417114,599.830933,14.235594,0.0,-0.836435,41.163002,0.0,0.098583,2.299768,23
477.581665,723.204773,228.417114,599.787109,15.952702,0.0,-0.476164,18.657347,0.0,0.092034,2.391802,24
536.483765,724.811768,228.417114,599.771118,16.545784,0.0,-0.162831,6.039076,0.0,0.098207,2.49001,25
602.688904,726.65271,228.417114,599.764954,16.737228,0.0,-0.055846,1.734334,0.0,0.110385,2.600395,26
659.653748,728.245544,228.417114,599.763855,16.785492,0.0,-0.011567,0.508153,0.0,0.094978,2.695373,27
726.426331,730.115784,228.417114,599.765137,16.802574,0.0,0.011513,0.153436,0.0,0.111331,2.806704,28
785.327515,731.766235,228.417114,599.764221,16.808048,0.0,-0.009322,0.05574,0.0,0.098207,2.904912,29
837.025208,733.215088,228.417114,372.399567,10.436465,0.0,-2429.127197,-68.07296,0.0,0.093599,2.998511,30
843.969604,733.409729,228.417114,0.0,0.0,0.0,-3713.481201,-104.069984,0.0,0.100283,3.098794,31
843.969604,733.409729,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.095469,3.194263,32
843.969604,733.409729,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.098149,3.292412,33
843.969604,733.409729,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.113491,3.405902,34
817.484009,818.145813,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.092955,0.092955,1
